Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10,Period_11,Period_12,Period_13,Period_14,Period_15,Period_16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,0,0,0,0,4,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,4.5,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,,,,5,0,0,0,0,0,0,0,0,0,0,0
,,,,,,5,0,0,0,0,0,0,0,0,0
,,,,,,,,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,6,0,0,0,0,0,0,0
,,,,,,,,,,,0,6,0,0,0
,,,,,,,,,,,,6,0,0,0
,,,,,,,,,,,,0,6,0,0
,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,6
0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,7.5,0
,,,,,,,,,,,,,,,7.8
0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0
,,,,,,,,0,8.5,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0
4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
,,,,,,0,4.5,0,0,4.5,0,0,0,0,0
0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,10,0,0,0,0,0,0,0,0,0,0
,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,10,0,0,0,0,0,0,0,0,0,0,0
,,,,,,0,0,0,0,0,0,0,10,0,0
,,,,,,,,,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
,,,,,,,,,,,,,,,12
,,,0,5,0,0,0,0,8.5,0,0,0,0,0,0
6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,14.5,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,0,15.6,0
,,,,,,,,0,0,0,0,0,0,15.8,0
0,0,5,0,0,0,0,0,0,0,0,0,6,0,5,0
0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,5
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0,16,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,0,0,6,0,0,5,5
0,0,0,0,0,0,0,0,8.5,8.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13.05,0,0,4
,,,,,,,,,,,,,,17.3,0
0,0,6,0,0,0,2.5,0,0,0,0,0,9,0,0,0
,,,,,,,,,17.5,0,0,0,0,0,0
12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,18,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,12,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3
,,,,,,,,,0,0,0,7.47,11.27,0,0
0,0,0,0,0,3,0,0,3,0,0,13,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
